source,repo,skill_name,classification,Pattern,Severity
skills.rest,rest_73,project-init,malicious,Context Leakage; Hidden Instructions; Data Exfiltration; Remote Code Execution,HIGH; HIGH; HIGH; CRITICAL
skills.rest,rest_154,github-multi-repo,malicious,External Transmission; Remote Code Execution,HIGH; HIGH
skills.rest,rest_167,github-workflow-automation,malicious,External Transmission; Command Injection; Remote Code Execution,HIGH; MEDIUM; CRITICAL
skills.rest,rest_234,flow-nexus-platform,malicious,External Transmission; Network sniffing / Credential theft; Behavior Manipulation; Excessive Permissions,HIGH; CRITICAL; MEDIUM; HIGH
skills.rest,rest_330,tailadmin-patterns,malicious,Remote Code Execution; Behavior Manipulation,CRITICAL; HIGH
skills.rest,rest_342,using-superpowers,malicious,Instruction Override; Instruction Override; Instruction Override; Instruction Override,CRITICAL; HIGH; MEDIUM; MEDIUM
skills.rest,rest_416,developer-growth-analysis,malicious,Context Leakage; Data Exfiltration; Network sniffing / Credential theft,CRITICAL; CRITICAL; CRITICAL
skills.rest,rest_422,legacy_v1,malicious,External Transmission; Behavior Manipulation; Behavior Manipulation,MEDIUM; CRITICAL; MEDIUM
skills.rest,rest_658,vercel-deploy,malicious,External Transmission; Behavior Manipulation,CRITICAL; HIGH
skills.rest,rest_889,privilege-escalation-methods,malicious,File System Scan; Privilege Escalation; Privilege Escalation; Privilege Escalation; Privilege Escalation; Privilege Escalation; Privilege Escalation; Privilege Escalation; Behavior Manipulation; Hardcoded Tokens; Hardcoded Tokens; Hardcoded Tokens; Hardcoded Tokens,MEDIUM; HIGH; HIGH; HIGH; MEDIUM; MEDIUM; MEDIUM; MEDIUM; HIGH; HIGH; HIGH; HIGH; HIGH
skills.rest,rest_1049,platform-porter,malicious,Privilege Escalation; File System Scan; Behavior Manipulation,MEDIUM; MEDIUM; MEDIUM
skills.rest,rest_1169,sqlite-agent-amplification,malicious,External Transmission; Remote Code Execution; Behavior Manipulation,HIGH; CRITICAL; CRITICAL
skills.rest,rest_1575,Skills,malicious,File System Scan; Behavior Manipulation,HIGH; MEDIUM
skills.rest,rest_1659,math-calculator,malicious,Code Obfuscation; Remote Code Execution; Remote Code Execution; Behavior Manipulation,CRITICAL; CRITICAL; HIGH; HIGH
